rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
2,2,-1,OLD,20164721,미녀와 야수,2017-03-16,321218300,33.9,-10920800,-3.3,34767983776,42189,-2034,-4.6,4233268,620,2546,2017-04-05,F
3,3,-1,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,146268600,15.4,-87493700,-37.4,5351802237,19047,-10351,-35.2,651472,482,1829,2017-04-05,F
4,4,-1,OLD,20167363,히든 피겨스,2017-03-23,65012600,6.9,-5580600,-7.9,2499799633,8802,-886,-9.1,315837,260,617,2017-04-05,F
5,5,0,OLD,20167364,미스 슬로운,2017-03-29,13234000,1.4,-2892500,-17.9,220020500,1740,-442,-20.3,28451,76,149,2017-04-05,F
6,6,0,OLD,20167005,데스노트: 더 뉴 월드,2017-03-29,12587500,1.3,1054200,9.1,211308763,1647,104,6.7,27559,77,93,2017-04-05,F
7,7,0,OLD,20164926,분노,2017-03-30,6581500,0.7,-2940900,-30.9,104550137,882,-422,-32.4,13208,61,86,2017-04-05,F
8,8,2,OLD,20167904,라라랜드,2016-12-07,6202500,0.7,-371000,-5.6,29126538633,832,-46,-5.2,3487102,43,57,2017-04-05,F
9,9,25,OLD,20166468,사일런스,2017-02-28,2595000,0.3,1730000,200,689131300,560,429,327.5,93015,9,10,2017-04-05,F
10,10,11,OLD,19960107,일 포스티노,1996-03-09,3212700,0.3,1245700,63.3,56925500,415,127,44.1,7374,14,20,2017-04-05,F
1,1,0,OLD,20162181,프리즌,2017-03-23,356401900,21.1,-29538000,-7.7,19586508640,47467,-3706,-7.2,2425884,583,2430,2017-04-06,
2,2,1,OLD,20164721,미녀와 야수,2017-03-16,313495100,18.5,-7723200,-2.4,35081478876,41678,-511,-1.2,4274946,577,2290,2017-04-06,
3,3,-1,OLD,20171381,라이프,2017-04-05,304648400,18.0,-26302900,-7.9,746189900,39646,-2984,-7,96491,529,2687,2017-04-06,
4,4,0,OLD,20167901,어느날,2017-04-05,174698300,10.3,-5333400,-3,391485000,23785,-541,-2.2,53319,485,1885,2017-04-06,
5,5,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,116611100,6.9,-29657500,-20.3,5468413337,15135,-3912,-20.5,666607,454,1462,2017-04-06,
6,6,0,OLD,20161923,시간위의 집,2017-04-05,106854100,6.3,-9203800,-7.9,270674600,14459,-1059,-6.8,36063,410,1525,2017-04-06,
7,7,0,OLD,20151230,원라인,2017-03-29,73909200,4.4,-29749200,-28.7,2744674733,10056,-4283,-29.9,361781,347,736,2017-04-06,
8,8,11,OLD,20171781,패트리어트 데이,2017-04-06,69011900,4.1,65947900,2152.3,163194400,9580,9197,2401.3,20961,373,1176,2017-04-06,
9,9,-1,OLD,20167363,히든 피겨스,2017-03-23,57879400,3.4,-7133200,-11,2557679033,7737,-1065,-12.1,323574,244,496,2017-04-06,
10,10,0,NEW,20173444,링스,2017-04-06,14705500,0.9,14705500,100,15755000,1880,1880,100,2017,103,155,2017-04-06,
1,1,0,OLD,20162181,프리즌,2017-03-23,356401900,48.5,-29538000,-7.7,19586508640,47467,-3706,-7.2,2425884,583,2430,2017-04-06,K
2,2,0,OLD,20167901,어느날,2017-04-05,174698300,23.8,-5333400,-3,391485000,23785,-541,-2.2,53319,485,1885,2017-04-06,K
3,3,0,OLD,20161923,시간위의 집,2017-04-05,106854100,14.5,-9203800,-7.9,270674600,14459,-1059,-6.8,36063,410,1525,2017-04-06,K
4,4,0,OLD,20151230,원라인,2017-03-29,73909200,10.1,-29749200,-28.7,2744674733,10056,-4283,-29.9,361781,347,736,2017-04-06,K
5,5,2,OLD,20179442,밤의 해변에서 혼자,2017-03-23,5811500,0.8,-3242500,-35.8,349781300,801,-457,-36.3,45615,52,82,2017-04-06,K
6,6,0,NEW,20172381,"다시, 벚꽃",2017-04-06,5613000,0.8,5613000,100,13360000,754,754,100,1730,132,213,2017-04-06,K
7,7,-2,OLD,20167902,보통사람,2017-03-23,4735000,0.6,-7589500,-61.6,2930578523,737,-1045,-58.6,379760,51,71,2017-04-06,K
8,8,0,NEW,20161726,임금님의 사건수첩,2017-04-26,1956000,0.3,1956000,100,1956000,326,326,100,326,1,1,2017-04-06,K
9,9,0,NEW,20174164,지렁이,2017-04-20,1582000,0.2,1582000,100,1582000,226,226,100,226,1,1,2017-04-06,K
10,10,4,OLD,20169603,콜리션,2017-03-30,793000,0.1,767000,2950,2053000,159,153,2550,355,22,22,2017-04-06,K
1,1,1,OLD,20164721,미녀와 야수,2017-03-16,313495100,32.7,-7723200,-2.4,35081478876,41678,-511,-1.2,4274946,577,2290,2017-04-06,F
